Datetime,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,Temp,RH,WS,WD
2017-01-11 00:00:00,332.5,494.0,107.45,100.97,55.5,3.0,8.9,31.38,80.75,0.72,143.0
2017-01-11 01:00:00,295.5,435.5,95.42,104.13,45.2,2.44,10.7,30.73,81.25,0.53,126.75
2017-01-11 02:00:00,270.0,395.0,77.62,99.42,29.12,1.97,12.18,30.65,82.0,0.6,161.25
2017-01-11 03:00:00,248.5,352.75,74.72,97.13,20.62,1.77,10.75,30.63,83.0,0.5,113.75
2017-01-11 04:00:00,261.75,365.5,82.2,97.62,17.85,1.65,8.72,31.23,85.25,0.85,104.0
2017-01-11 05:00:00,266.75,390.25,77.05,89.58,26.88,1.73,8.73,31.98,87.0,1.28,108.75
2017-01-11 06:00:00,252.25,362.75,68.05,87.48,29.35,1.66,7.85,32.0,89.0,1.18,109.5
2017-01-11 07:00:00,238.5,348.75,69.38,89.75,29.65,1.72,7.75,31.97,87.25,0.97,105.75
2017-01-11 08:00:00,241.0,383.75,72.62,93.42,31.35,1.64,9.53,31.33,79.25,1.08,107.75
2017-01-11 09:00:00,236.25,406.0,70.23,98.4,33.95,1.4,42.05341319089048,30.7,66.5,1.62,135.0
2017-01-11 10:00:00,204.5,357.5,8.87,78.38,20.505856596376972,12.63,25.57,30.03,58.0,2.02,151.75
2017-01-11 11:00:00,175.25,329.5,69.98,88.88,22.97,1.24,39.95,30.65,52.75,1.9,148.25
2017-01-11 12:00:00,157.75,325.5,63.07,82.48,19.53,1.05,53.7,31.28,47.5,1.62,132.0
2017-01-11 13:00:00,130.5,294.5,55.55,70.73,12.75,1.11,59.68,32.05,43.0,1.4,168.0
2017-01-11 14:00:00,125.25,281.25,53.3,66.6,11.45,1.22,64.77,31.88,42.0,0.8,183.5
2017-01-11 15:00:00,135.0,290.0,55.03,65.48,10.88,1.21,62.12,31.8,43.25,0.58,115.75
2017-01-11 16:00:00,135.5,328.25,91.23,68.2,12.38,1.38,44.23,31.5,46.75,0.3,91.75
2017-01-11 17:00:00,148.5,430.5,142.55,86.65,20.1,1.63,16.5,30.52,56.5,0.38,95.75
2017-01-11 18:00:00,188.75,511.75,129.6,88.83,19.02,1.87,15.22,30.45,63.25,0.45,107.5
2017-01-11 19:00:00,208.75,452.75,118.77,89.02,26.52,1.97,14.03,30.4,66.25,0.55,108.0
2017-01-11 20:00:00,214.5,400.0,97.92,88.23,39.35,1.98,15.67,31.17,69.25,1.13,117.5
2017-01-11 21:00:00,206.75,365.25,85.1,79.2,33.07,1.99,16.98,31.97,72.75,1.15,131.5
2017-01-11 22:00:00,184.25,315.75,82.23,77.93,30.22,1.79,12.62,32.15,76.5,0.98,114.25
2017-01-11 23:00:00,164.0,282.0,82.7,78.45,26.43,1.76,11.0,32.07,80.75,0.8,139.25
2017-01-12 00:00:00,339.25,512.25,0.15,0.08,54.3,6.6,41.97,30.45,68.75,0.35,175.25
2017-01-12 01:00:00,358.0,507.0,0.05,0.03,43.4,6.8,130.72,31.42,73.5,0.43,31.0
2017-01-12 02:00:00,452.5,633.25,0.03,0.03,94.1,5.14,101.52,31.58,70.25,0.58,156.75
2017-01-12 03:00:00,475.5,920.0,55.224268439358966,0.08,149.1,3.95,42.05341319089048,31.42,69.5,0.48,329.25
2017-01-12 04:00:00,647.75,247.97583816892327,55.224268439358966,0.03,68.12,3.16,157.5,31.2,71.25,0.5,225.5
2017-01-12 05:00:00,352.0,247.97583816892327,0.15,39.99629275950029,22.08,3.1,42.05341319089048,30.82,77.75,0.3,159.5
2017-01-12 06:00:00,367.5,247.97583816892327,0.1,39.99629275950029,16.5,3.01,193.98,30.8,80.5,0.3,72.25
2017-01-12 07:00:00,401.75,247.97583816892327,55.224268439358966,39.99629275950029,20.47,3.38,125.5,30.75,78.0,0.33,242.25
2017-01-12 08:00:00,417.0,247.97583816892327,0.08,39.99629275950029,40.25,3.91,67.03,30.53,67.25,0.48,261.25
